"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1TK2qt4f2CdV3yvlDqZ7Un","Tutti i tuoi cenni - Live","spotify:artist:1F3C8pMF4AiLhSpeMpzfJO","Stella Maris","spotify:album:3AMO6fsJWXZ3X1TudZjKej","Un mondo che non c'è più","spotify:artist:1F3C8pMF4AiLhSpeMpzfJO","Stella Maris","2018-05-18","https://i.scdn.co/image/ab67616d0000b273ba7b99072df8f2f0153c8661","1","2","223800","https://p.scdn.co/mp3-preview/b7399aedc192a56ee20841f5107bdfd27ed420f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","ITP841800147","","2018-12-10T17:27:09Z"
"spotify:track:7oETr2afFHIzjDIOpm4zPJ","Se Piovesse Il Tuo Nome","spotify:artist:2ARH58Hit3yC6ziGdhma23","Elisa","spotify:album:2ShW1dnxI5hVcWwR3WOQEQ","Diari Aperti","spotify:artist:2ARH58Hit3yC6ziGdhma23","Elisa","2018-10-26","https://i.scdn.co/image/ab67616d0000b273ab082607c8a5b10556b991ae","1","2","202533","","false","0","ITUM71800972","","2018-12-08T00:19:35Z"
"spotify:track:2fmXnPfzguSp3zKDibCBgv","Mister Magic","spotify:artist:05YVYeV4HxYp5rrWalvuE1","Grover Washington\, Jr.","spotify:album:3DnS9jBOXBVx6oPAbsQDGZ","Mister Magic","spotify:artist:05YVYeV4HxYp5rrWalvuE1","Grover Washington\, Jr.","1974","https://i.scdn.co/image/ab67616d0000b273dd15e56df5c95b6bb1c8e1d5","1","3","541826","","false","50","USMO17582656","","2018-12-03T17:10:38Z"
"spotify:track:4AYndKToFiRcKRR9FO29VC","A volte le cose vanno in una direzione opposta a quella che pensavi","spotify:artist:1jUnq1j9h7jwhefWzS8r95","Umberto Maria Giardini","spotify:album:2VkScSysMP1vdg5ukbElIF","Futuro proximo","spotify:artist:1jUnq1j9h7jwhefWzS8r95","Umberto Maria Giardini","2017-02-03","https://i.scdn.co/image/ab67616d0000b2731485b813af9263ab3a45a291","1","3","231973","https://p.scdn.co/mp3-preview/ec50700fae9243a6109ebe77621b96ac37549b17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","ITP841700014","","2018-12-01T15:12:47Z"
"spotify:track:4PGWramunj3Bsz5UXCu4ex","Anyways","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:6gx8diiCmRQn9wkINjd0BJ","Tranquility Base Hotel & Casino","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2018-05-02","https://i.scdn.co/image/ab67616d0000b273ec5328796bc1a573f93b1353","1","2","221229","https://p.scdn.co/mp3-preview/f14242e7a3d5f83907b03929aa562a9c7e433822?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBCEL1800524","","2018-11-30T23:32:53Z"
"spotify:track:4HbVVd2D3HKYe7PR0uEn1q","Hurt","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","spotify:album:4zvKUPP4GO4Q6GcAlhtvfF","The Downward Spiral","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","1994-03-08","https://i.scdn.co/image/ab67616d0000b2730dc355c6d881fce8e0ef4130","1","14","374440","","false","0","USIR19400538","","2018-11-26T14:31:29Z"
"spotify:track:29tzM8oIgOxBr3cI9CBOpb","Terryfold","spotify:artist:6D6rjLdxyE5vwhMlkuQq0E, spotify:artist:0kUdoLw1gHA76hUCqKhYeO","Chaos Chaos, Justin Roiland","spotify:album:4JKaecqkR2ERMQxlxM4B1D","Terryfold","spotify:artist:6D6rjLdxyE5vwhMlkuQq0E","Chaos Chaos","2017-08-27","https://i.scdn.co/image/ab67616d0000b273458c14001110f11a63694e6f","1","1","150000","https://p.scdn.co/mp3-preview/8882f69f55c2027c86ecd83d278514d285811507?cid=9950ac751e34487dbbe027c4fd7f8e99","true","41","ushm81720050","","2018-11-26T13:08:16Z"
"spotify:track:0YrW1fXA9I5veXqfJFspS8","Ruby","spotify:artist:1y71H4hNtnHG7LeU1Y47FO","Mr Jukes","spotify:album:0eCjIr8lbky7Q2u1Mmd5GT","God First","spotify:artist:1y71H4hNtnHG7LeU1Y47FO","Mr Jukes","2017-07-14","https://i.scdn.co/image/ab67616d0000b2736399259ee912d732221b722f","1","3","263503","","false","31","GBUM71700851","","2018-11-24T18:52:57Z"
"spotify:track:2KhgIvDKgmm1HWYUFTpoet","Somebody New","spotify:artist:1y71H4hNtnHG7LeU1Y47FO","Mr Jukes","spotify:album:0eCjIr8lbky7Q2u1Mmd5GT","God First","spotify:artist:1y71H4hNtnHG7LeU1Y47FO","Mr Jukes","2017-07-14","https://i.scdn.co/image/ab67616d0000b2736399259ee912d732221b722f","1","4","172987","","false","46","GBUM71700852","","2018-11-24T18:52:57Z"
"spotify:track:0uLijBRekQsSPwHs1LIEXz","Grant Green","spotify:artist:1y71H4hNtnHG7LeU1Y47FO, spotify:artist:462T0buQ5ScBUQCRpodDRf","Mr Jukes, Charles Bradley","spotify:album:0eCjIr8lbky7Q2u1Mmd5GT","God First","spotify:artist:1y71H4hNtnHG7LeU1Y47FO","Mr Jukes","2017-07-14","https://i.scdn.co/image/ab67616d0000b2736399259ee912d732221b722f","1","5","202850","","false","47","GBUM71700849","","2018-11-24T18:52:57Z"
"spotify:track:2BX6krGSR5KG7UZ1MCWpiL","Magic","spotify:artist:1y71H4hNtnHG7LeU1Y47FO","Mr Jukes","spotify:album:0eCjIr8lbky7Q2u1Mmd5GT","God First","spotify:artist:1y71H4hNtnHG7LeU1Y47FO","Mr Jukes","2017-07-14","https://i.scdn.co/image/ab67616d0000b2736399259ee912d732221b722f","1","8","255573","","false","35","GBUM71700850","","2018-11-24T18:52:57Z"
"spotify:track:0QLLDg0peglJiFxgrEIDxB","Tears","spotify:artist:1y71H4hNtnHG7LeU1Y47FO, spotify:artist:6HzmkPIrH1wNO6NwemYaYe","Mr Jukes, Alexandria","spotify:album:0eCjIr8lbky7Q2u1Mmd5GT","God First","spotify:artist:1y71H4hNtnHG7LeU1Y47FO","Mr Jukes","2017-07-14","https://i.scdn.co/image/ab67616d0000b2736399259ee912d732221b722f","1","9","248792","","false","33","GBUM71700853","","2018-11-24T18:52:57Z"
"spotify:track:79knRB1dHeFFNA2loYEymx","Typhoon","spotify:artist:1y71H4hNtnHG7LeU1Y47FO","Mr Jukes","spotify:album:0eCjIr8lbky7Q2u1Mmd5GT","God First","spotify:artist:1y71H4hNtnHG7LeU1Y47FO","Mr Jukes","2017-07-14","https://i.scdn.co/image/ab67616d0000b2736399259ee912d732221b722f","1","1","329348","","false","28","GBUM71700856","","2018-11-24T18:52:57Z"
"spotify:track:75RjfwNH2VJD3JaBYD0pYx","Angels / Your Love","spotify:artist:1y71H4hNtnHG7LeU1Y47FO, spotify:artist:07d5etnpjriczFBB8pxmRe","Mr Jukes, BJ The Chicago Kid","spotify:album:0eCjIr8lbky7Q2u1Mmd5GT","God First","spotify:artist:1y71H4hNtnHG7LeU1Y47FO","Mr Jukes","2017-07-14","https://i.scdn.co/image/ab67616d0000b2736399259ee912d732221b722f","1","2","312020","","false","39","GBUM71700843","","2018-11-24T18:52:57Z"
"spotify:track:2beGmhC6tWj9UXODFRv5fx","Leap Of Faith","spotify:artist:1y71H4hNtnHG7LeU1Y47FO, spotify:artist:1Z8ODXyhEBi3WynYw0Rya6, spotify:artist:2ieAXAuLe6qQ3RJsqCxpoC","Mr Jukes, De La Soul, Horace Andy","spotify:album:0eCjIr8lbky7Q2u1Mmd5GT","God First","spotify:artist:1y71H4hNtnHG7LeU1Y47FO","Mr Jukes","2017-07-14","https://i.scdn.co/image/ab67616d0000b2736399259ee912d732221b722f","1","6","186113","","false","31","GBUM71700854","","2018-11-24T18:52:57Z"
"spotify:track:6SKC0o6MCnXikDlGjJPQT2","From Golden Stars Comes Silver Dew","spotify:artist:1y71H4hNtnHG7LeU1Y47FO, spotify:artist:0uNEy4544VZq2KOl7BsLuo","Mr Jukes, Lalah Hathaway","spotify:album:0eCjIr8lbky7Q2u1Mmd5GT","God First","spotify:artist:1y71H4hNtnHG7LeU1Y47FO","Mr Jukes","2017-07-14","https://i.scdn.co/image/ab67616d0000b2736399259ee912d732221b722f","1","7","191545","","false","42","GBUM71700857","","2018-11-24T18:52:57Z"
"spotify:track:456Icnp064xMCQhm9Ax2us","When Your Light Goes Out","spotify:artist:1y71H4hNtnHG7LeU1Y47FO, spotify:artist:2RP4pPHTXlQpDnO9LvR7Yt","Mr Jukes, Lianne La Havas","spotify:album:0eCjIr8lbky7Q2u1Mmd5GT","God First","spotify:artist:1y71H4hNtnHG7LeU1Y47FO","Mr Jukes","2017-07-14","https://i.scdn.co/image/ab67616d0000b2736399259ee912d732221b722f","1","10","283017","","false","27","GBUM71700855","","2018-11-24T18:52:57Z"
"spotify:track:0dMYPDqcI4ca4cjqlmp9mE","The Dark Side","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:5OZgDtx180ZZPMpm36J2zC","Simulation Theory (Super Deluxe)","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2018-11-09","https://i.scdn.co/image/ab67616d0000b2734cb163c1d111f77307c842b6","1","2","227213","https://p.scdn.co/mp3-preview/a7915d3b065791279cc80da2eafdb58c243242d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBAHT1800404","","2018-11-10T16:49:35Z"
"spotify:track:3eSyMBd7ERw68NVB3jlRmW","Pressure","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:5OZgDtx180ZZPMpm36J2zC","Simulation Theory (Super Deluxe)","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2018-11-09","https://i.scdn.co/image/ab67616d0000b2734cb163c1d111f77307c842b6","1","3","235600","https://p.scdn.co/mp3-preview/6b079b872c024d003c26983fbcaf13ece7fa0718?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBAHT1800405","","2018-11-10T16:49:35Z"
"spotify:track:2sHLWUTiaBPGOIZinpqO4C","Propaganda","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:5OZgDtx180ZZPMpm36J2zC","Simulation Theory (Super Deluxe)","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2018-11-09","https://i.scdn.co/image/ab67616d0000b2734cb163c1d111f77307c842b6","1","4","180506","https://p.scdn.co/mp3-preview/fe4b399342d5ab412a86479231144840727cbee4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBAHT1800417","","2018-11-10T16:49:35Z"
"spotify:track:1mgWnqeUOurHJIyorDtuqF","Break It to Me","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:5OZgDtx180ZZPMpm36J2zC","Simulation Theory (Super Deluxe)","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2018-11-09","https://i.scdn.co/image/ab67616d0000b2734cb163c1d111f77307c842b6","1","5","217560","https://p.scdn.co/mp3-preview/8cd36145da506b0c8f7cc924d2348584d5521557?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBAHT1800409","","2018-11-10T16:49:35Z"
"spotify:track:1esX5rtwwssnsEQNQk0HGg","Something Human","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:5OZgDtx180ZZPMpm36J2zC","Simulation Theory (Super Deluxe)","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2018-11-09","https://i.scdn.co/image/ab67616d0000b2734cb163c1d111f77307c842b6","1","6","226786","https://p.scdn.co/mp3-preview/cca48449d4a67485297e5c61b01766182252b7c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBAHT1800329","","2018-11-10T16:49:35Z"
